Ambiente,Participante,Tarefa,Duracao_Tarefa,Acertou_tarefa
B,usuario1,1,93779,TRUE
B,usuario1,2,23713,TRUE
B,usuario1,3,28485,TRUE
B,usuario1,4,47176,TRUE
B,usuario1,5,76875,TRUE
B,usuario1,6,117370,TRUE
B,usuario1,7,48230,TRUE
B,usuario1,8,33252,TRUE
B,usuario1,9,36546,TRUE
B,usuario1,10,48811,TRUE
B,usuario1,11,112215,TRUE
B,usuario1,12,54045,TRUE
B,usuario1,13,25355,TRUE
B,usuario2,1,45815,TRUE
B,usuario2,2,30191,TRUE
B,usuario2,3,21116,TRUE
B,usuario2,4,43740,TRUE
B,usuario2,5,56731,TRUE
B,usuario2,6,99537,TRUE
B,usuario2,7,41055,TRUE
B,usuario2,8,56686,TRUE
B,usuario2,9,31550,TRUE
B,usuario2,10,35168,TRUE
B,usuario2,11,55281,TRUE
B,usuario2,12,68102,TRUE
B,usuario2,13,32963,TRUE
B,usuario3,1,107656,TRUE
B,usuario3,2,38906,TRUE
B,usuario3,3,39750,TRUE
B,usuario3,4,38803,TRUE
B,usuario3,5,60541,TRUE
B,usuario3,6,109899,FALSE
B,usuario3,7,36430,TRUE
B,usuario3,8,49555,TRUE
B,usuario3,9,54184,TRUE
B,usuario3,10,42703,TRUE
B,usuario3,11,67124,TRUE
B,usuario3,12,91789,TRUE
B,usuario3,13,21387,TRUE
B,usuario4,1,46503,TRUE
B,usuario4,2,24842,TRUE
B,usuario4,3,23446,TRUE
B,usuario4,4,31731,TRUE
B,usuario4,5,57026,TRUE
B,usuario4,6,116222,TRUE
B,usuario4,7,49758,TRUE
B,usuario4,8,38363,TRUE
B,usuario4,9,35269,TRUE
B,usuario4,10,41422,TRUE
B,usuario4,11,42462,FALSE
B,usuario4,12,166760,FALSE
B,usuario4,13,22016,TRUE
B,usuario5,1,43281,TRUE
B,usuario5,2,21834,TRUE
B,usuario5,3,24010,TRUE
B,usuario5,4,52610,TRUE
B,usuario5,5,64974,TRUE
B,usuario5,6,69449,TRUE
B,usuario5,7,39123,TRUE
B,usuario5,8,36509,TRUE
B,usuario5,9,48149,TRUE
B,usuario5,10,64907,TRUE
B,usuario5,11,58526,TRUE
B,usuario5,12,58570,TRUE
B,usuario5,13,20393,TRUE
B,usuario6,1,61409,TRUE
B,usuario6,2,33680,TRUE
B,usuario6,3,25391,TRUE
B,usuario6,4,28687,TRUE
B,usuario6,5,90200,TRUE
B,usuario6,6,87776,TRUE
B,usuario6,7,41536,TRUE
B,usuario6,8,51104,TRUE
B,usuario6,9,49216,TRUE
B,usuario6,10,33986,TRUE
B,usuario6,11,44215,TRUE
B,usuario6,12,54629,TRUE
B,usuario6,13,23858,TRUE
B,usuario7,1,58342,TRUE
B,usuario7,2,39550,TRUE
B,usuario7,3,37395,TRUE
B,usuario7,4,46160,TRUE
B,usuario7,5,85071,TRUE
B,usuario7,6,107671,TRUE
B,usuario7,7,80018,TRUE
B,usuario7,8,52405,TRUE
B,usuario7,9,40428,TRUE
B,usuario7,10,47130,TRUE
B,usuario7,11,75050,TRUE
B,usuario7,12,74702,TRUE
B,usuario7,13,77282,TRUE
B,usuario8,1,149669,TRUE
B,usuario8,2,74908,TRUE
B,usuario8,3,23866,FALSE
B,usuario8,4,44821,TRUE
B,usuario8,5,83638,TRUE
B,usuario8,6,78428,TRUE
B,usuario8,7,52267,TRUE
B,usuario8,8,56059,TRUE
B,usuario8,9,26874,TRUE
B,usuario8,10,53699,TRUE
B,usuario8,11,59593,TRUE
B,usuario8,12,97507,TRUE
B,usuario8,13,22843,TRUE
B,usuario9,1,45591,TRUE
B,usuario9,2,28884,TRUE
B,usuario9,3,17019,TRUE
B,usuario9,4,76188,TRUE
B,usuario9,5,69627,TRUE
B,usuario9,6,71994,TRUE
B,usuario9,7,46364,TRUE
B,usuario9,8,55148,TRUE
B,usuario9,9,32266,TRUE
B,usuario9,10,84415,TRUE
B,usuario9,11,259782,TRUE
B,usuario9,12,83959,TRUE
B,usuario9,13,21900,TRUE
B,usuario10,1,51497,TRUE
B,usuario10,2,27003,TRUE
B,usuario10,3,67799,TRUE
B,usuario10,4,52043,TRUE
B,usuario10,5,76949,TRUE
B,usuario10,6,109195,TRUE
B,usuario10,7,55553,TRUE
B,usuario10,8,55680,TRUE
B,usuario10,9,48560,TRUE
